유역평균강수3,강우(A지역)3,강우(B지역)3,강우(C지역)3,강우(D지역)3,수위(E지역)3,수위(D지역)3
59.1,42.0,59.0,51.0,61.0,5.2,123.8
59.1,42.0,59.0,51.0,61.0,5.1,123.9
59.1,42.0,59.0,51.0,61.0,5.1,124.0
59.1,42.0,59.0,51.0,61.0,5.1,124.1
59.2,42.0,59.0,51.0,61.0,5.0,124.1
59.4,42.0,59.0,51.0,61.0,5.0,124.2
59.7,42.0,60.0,50.0,61.0,4.9,124.3
59.2,42.0,60.0,48.0,61.0,4.9,124.4
58.9,43.0,60.0,48.0,61.0,4.8,124.5
58.9,43.0,60.0,43.0,61.0,4.8,124.6
59.2,43.0,61.0,41.0,62.0,4.7,124.7
59.5,42.0,61.0,39.0,60.0,4.7,124.7
60.0,42.0,62.0,32.0,59.0,4.6,124.8
60.6,42.0,62.0,29.0,57.0,4.6,124.9
61.3,44.0,62.0,28.0,55.0,4.5,125.0
62.8,47.0,62.0,21.0,54.0,4.5,125.1
67.4,50.0,64.0,21.0,51.0,4.4,125.2
73.5,62.0,69.0,28.0,49.0,4.4,125.3
79.8,91.0,81.0,27.0,50.0,4.3,125.3
86.2,107.0,85.0,26.0,45.0,4.3,125.4
89.5,112.0,85.0,24.0,39.0,4.3,125.5
91.7,115.0,78.0,23.0,26.0,4.2,125.5
93.5,118.0,70.0,22.0,24.0,4.2,125.6
95.5,120.0,66.0,22.0,23.0,4.2,125.6
97.2,122.0,60.0,21.0,22.0,4.2,125.7
101.0,145.0,55.0,21.0,21.0,4.3,125.7
104.6,154.0,52.0,21.0,21.0,4.4,125.8
105.0,157.0,51.0,19.0,20.0,4.6,125.8
102.7,157.0,50.0,19.0,21.0,5.0,125.8
102.1,160.0,51.0,18.0,20.0,5.7,125.8
102.2,158.0,53.0,18.0,26.0,6.3,125.9
103.9,161.0,63.0,18.0,27.0,6.7,125.9
105.3,165.0,80.0,19.0,44.0,6.9,125.9
103.6,173.0,80.0,19.0,53.0,7.2,125.9
102.6,176.0,79.0,19.0,54.0,7.8,126.0
101.7,207.0,80.0,20.0,55.0,8.3,126.0
101.7,213.0,79.0,20.0,55.0,8.6,126.1
101.9,206.0,80.0,20.0,54.0,8.6,126.2
102.7,207.0,80.0,20.0,55.0,8.6,126.3
103.2,207.0,81.0,22.0,57.0,8.6,126.4
104.8,227.0,81.0,22.0,59.0,8.6,126.5
104.6,228.0,81.0,25.0,59.0,8.8,126.6
103.7,229.0,81.0,25.0,59.0,9.2,126.8
103.0,228.0,81.0,25.0,59.0,9.7,127.0
102.6,227.0,81.0,25.0,60.0,10.0,127.1
102.3,241.0,81.0,25.0,60.0,10.1,127.3
103.6,241.0,81.0,25.0,60.0,10.1,127.5
106.6,241.0,88.0,32.0,61.0,9.9,127.7
108.3,241.0,88.0,32.0,69.0,9.8,127.9
108.9,241.0,88.0,32.0,74.0,9.5,128.2
109.2,241.0,88.0,32.0,74.0,9.2,128.4
109.5,241.0,88.0,31.0,74.0,8.9,128.6
109.4,241.0,88.0,29.0,73.0,8.6,128.9
109.4,241.0,88.0,28.0,73.0,8.4,129.1
109.5,241.0,87.0,25.0,73.0,8.2,129.3
109.8,241.0,87.0,16.0,72.0,8.0,129.6
109.8,241.0,87.0,18.0,72.0,7.7,129.8
109.8,241.0,87.0,18.0,72.0,7.5,130.0
109.8,241.0,86.0,18.0,71.0,7.4,130.2
109.8,241.0,86.0,18.0,67.0,7.2,130.4
109.8,241.0,85.0,18.0,62.0,7.1,130.6
109.9,241.0,85.0,18.0,62.0,6.9,130.8
109.9,241.0,85.0,18.0,59.0,6.7,131.0
109.8,241.0,84.0,17.0,59.0,6.6,131.1
109.6,241.0,81.0,17.0,59.0,6.4,131.3
109.3,242.0,75.0,17.0,59.0,6.3,131.4
109.0,242.0,61.0,17.0,58.0,6.2,131.5
109.6,242.0,55.0,17.0,58.0,6.0,131.6
109.7,242.0,52.0,17.0,57.0,5.9,131.8
110.0,242.0,52.0,17.0,56.0,5.8,131.9
111.2,242.0,51.0,16.0,55.0,5.7,132.0
111.9,252.0,48.0,16.0,56.0,5.6,132.0
111.8,252.0,55.0,16.0,50.0,5.5,132.1
111.6,257.0,55.0,15.0,49.0,5.5,132.2
111.9,254.0,57.0,15.0,33.0,5.4,132.3
107.7,254.0,57.0,15.0,31.0,5.3,132.3
102.1,242.0,57.0,15.0,31.0,5.3,132.4
96.4,213.0,59.0,13.0,37.0,5.2,132.4
93.6,197.0,56.0,13.0,45.0,5.2,132.4
92.0,192.0,48.0,10.0,45.0,5.2,132.4
92.3,190.0,40.0,10.0,44.0,5.2,132.4
94.2,187.0,39.0,10.0,50.0,5.2,132.4
95.1,210.0,39.0,10.0,48.0,5.3,132.4
92.9,211.0,37.0,10.0,49.0,5.4,132.4
88.9,189.0,38.0,10.0,49.0,5.4,132.4
88.0,180.0,37.0,3.0,50.0,5.4,132.4
88.2,177.0,40.0,3.0,49.0,5.5,132.3
86.9,179.0,42.0,3.0,49.0,5.5,132.3
86.3,175.0,44.0,3.0,49.0,5.5,132.3
82.0,175.0,44.0,3.0,48.0,5.5,132.3
77.6,176.0,46.0,3.0,40.0,5.5,132.2
83.5,175.0,55.0,3.0,35.0,5.6,132.2
86.7,191.0,59.0,3.0,35.0,5.8,132.2
94.6,212.0,70.0,3.0,38.0,6.0,132.1
104.0,180.0,106.0,5.0,45.0,6.1,132.1
113.3,171.0,115.0,12.0,54.0,6.2,132.1
118.0,168.0,119.0,24.0,59.0,6.3,132.0
121.2,240.0,120.0,24.0,76.0,6.4,132.0
122.2,238.0,121.0,25.0,77.0,7.6,131.9
123.9,216.0,121.0,28.0,79.0,9.9,131.9
124.8,215.0,122.0,30.0,81.0,12.0,131.8
126.3,212.0,122.0,31.0,82.0,13.4,131.8
130.3,212.0,132.0,37.0,82.0,13.7,131.8
135.7,212.0,144.0,38.0,91.0,13.7,131.9
140.7,197.0,160.0,41.0,107.0,13.4,131.9
143.9,197.0,172.0,45.0,110.0,13.1,132.0
150.2,197.0,200.0,45.0,111.0,12.6,132.2
158.9,195.0,230.0,46.0,116.0,12.0,132.4
171.1,195.0,247.0,46.0,123.0,11.5,132.6
186.3,195.0,268.0,47.0,130.0,11.3,132.9
204.8,195.0,278.0,47.0,146.0,11.4,133.1
217.4,195.0,284.0,66.0,172.0,12.1,133.4
225.0,195.0,290.0,81.0,182.0,13.4,133.8
234.4,195.0,300.0,88.0,183.0,14.6,134.1
246.4,195.0,317.0,101.0,187.0,15.5,134.4
261.6,195.0,328.0,115.0,202.0,16.1,134.8
274.2,195.0,339.0,131.0,217.0,16.5,135.2
285.0,196.0,346.0,139.0,221.0,16.5,135.5
294.7,214.0,350.0,148.0,235.0,16.5,136.0
301.0,215.0,353.0,180.0,240.0,16.6,136.4
306.9,218.0,350.0,190.0,237.0,16.6,136.8
314.5,224.0,357.0,205.0,243.0,16.7,137.3
320.6,227.0,355.0,217.0,249.0,16.6,137.8
325.1,228.0,355.0,226.0,247.0,16.5,138.4
326.8,227.0,356.0,233.0,251.0,16.1,139.0
327.2,227.0,352.0,238.0,252.0,15.5,139.5
328.1,226.0,352.0,242.0,253.0,14.8,140.1
328.4,226.0,349.0,245.0,252.0,14.1,140.6
327.1,227.0,339.0,246.0,253.0,13.4,141.2
326.2,228.0,340.0,247.0,253.0,12.7,141.7
327.2,220.0,341.0,247.0,254.0,12.1,142.1
327.8,221.0,343.0,251.0,255.0,11.5,142.5
325.0,218.0,344.0,249.0,258.0,11.0,142.8
325.1,222.0,346.0,243.0,261.0,10.6,143.1
325.6,222.0,344.0,231.0,262.0,10.2,143.4
326.2,225.0,343.0,231.0,259.0,9.9,143.6
327.3,226.0,343.0,230.0,252.0,9.6,143.7
328.4,227.0,345.0,230.0,244.0,9.3,143.8
328.3,229.0,344.0,229.0,240.0,9.1,143.9
325.4,228.0,335.0,233.0,228.0,8.9,143.9
323.3,228.0,331.0,229.0,228.0,8.7,144.0
321.6,203.0,321.0,228.0,226.0,8.5,144.0
321.3,200.0,285.0,225.0,224.0,8.4,144.0
321.3,199.0,269.0,221.0,223.0,8.3,143.9
321.0,199.0,265.0,222.0,223.0,8.2,143.9
321.1,204.0,265.0,225.0,215.0,8.1,143.8
320.9,203.0,266.0,228.0,200.0,7.9,143.7
322.4,204.0,269.0,233.0,198.0,7.8,143.7
324.2,208.0,270.0,237.0,198.0,7.8,143.6
317.7,205.0,273.0,222.0,200.0,7.7,143.5
312.4,204.0,267.0,208.0,201.0,7.6,143.4
302.4,182.0,260.0,202.0,196.0,7.6,143.2
290.7,159.0,248.0,191.0,182.0,7.5,143.1
281.8,164.0,241.0,178.0,157.0,7.5,143.0
280.6,173.0,218.0,166.0,148.0,7.5,142.9
281.7,179.0,193.0,162.0,153.0,7.6,142.8
284.4,108.0,181.0,160.0,154.0,7.7,142.7
284.8,114.0,163.0,136.0,148.0,7.9,142.6
286.9,119.0,156.0,127.0,134.0,8.0,142.4
287.7,123.0,153.0,113.0,125.0,8.2,142.4
286.5,127.0,149.0,102.0,112.0,8.4,142.3
283.3,131.0,140.0,94.0,102.0,8.6,142.2
278.3,132.0,124.0,89.0,99.0,8.8,142.2
272.9,134.0,115.0,87.0,94.0,9.1,142.1
266.4,137.0,104.0,83.0,89.0,9.2,142.1
258.0,140.0,99.0,82.0,84.0,9.3,142.1
246.7,141.0,97.0,81.0,80.0,9.3,142.0
232.6,142.0,96.0,81.0,78.0,9.3,142.0
216.3,143.0,92.0,81.0,78.0,9.3,142.0
205.9,144.0,85.0,82.0,84.0,9.3,142.0
198.9,145.0,86.0,84.0,83.0,9.2,142.0
191.8,145.0,87.0,84.0,84.0,9.1,142.0
182.1,150.0,87.0,90.0,86.0,9.0,142.0
168.7,153.0,90.0,94.0,87.0,8.8,142.0
158.2,156.0,91.0,96.0,84.0,8.7,142.0
149.6,160.0,94.0,94.0,83.0,8.6,142.0
142.4,161.0,96.0,95.0,84.0,8.5,142.0
137.6,143.0,95.0,92.0,87.0,8.3,142.0
132.4,142.0,94.0,92.0,88.0,8.2,142.0
124.9,139.0,93.0,93.0,88.0,8.1,142.0
119.0,133.0,91.0,93.0,87.0,8.0,142.0
114.6,130.0,89.0,94.0,83.0,8.0,141.9
113.0,129.0,88.0,93.0,82.0,7.9,141.9
111.8,129.0,86.0,89.0,82.0,7.8,141.9
110.5,129.0,84.0,86.0,82.0,7.8,141.9
109.6,129.0,82.0,80.0,82.0,7.7,141.8
109.2,130.0,81.0,76.0,82.0,7.6,141.8
108.8,129.0,81.0,72.0,81.0,7.5,141.7
107.2,128.0,81.0,71.0,80.0,7.4,141.7
105.3,126.0,80.0,70.0,79.0,7.3,141.6
103.2,125.0,80.0,68.0,78.0,7.1,141.5
101.2,121.0,80.0,67.0,71.0,7.0,141.5
0.0,0.0,1.0,0.0,0.0,2.9,134.4
0.5,0.0,2.0,0.0,0.0,2.9,134.4
1.5,1.0,2.0,1.0,0.0,2.9,134.3
2.6,2.0,3.0,2.0,1.0,2.9,134.3
4.0,6.0,4.0,3.0,2.0,2.9,134.3
5.4,11.0,4.0,4.0,3.0,2.9,134.3
6.3,11.0,5.0,4.0,4.0,2.9,134.3
6.6,11.0,5.0,5.0,6.0,2.9,134.2
7.6,11.0,7.0,5.0,6.0,2.9,134.2
9.8,11.0,8.0,7.0,7.0,2.9,134.2
11.9,13.0,11.0,11.0,9.0,2.9,134.2
14.8,15.0,11.0,16.0,11.0,2.9,134.2
15.3,16.0,11.0,18.0,15.0,2.9,134.1
16.8,17.0,12.0,19.0,15.0,2.9,134.1
18.8,20.0,12.0,24.0,17.0,2.9,134.1
19.8,22.0,13.0,27.0,19.0,2.9,134.1
20.1,22.0,13.0,29.0,20.0,2.9,134.1
20.2,22.0,13.0,29.0,20.0,2.9,134.0
20.4,22.0,13.0,30.0,20.0,2.9,134.0
20.5,22.0,13.0,30.0,20.0,2.9,133.9
20.6,22.0,13.0,31.0,21.0,2.9,133.8
20.9,22.0,13.0,31.0,21.0,2.9,133.8
21.1,22.0,13.0,31.0,21.0,2.9,133.6
21.1,22.0,13.0,31.0,21.0,2.9,133.5
21.1,22.0,13.0,31.0,21.0,2.9,133.4
21.1,23.0,13.0,31.0,21.0,2.9,133.2
21.1,23.0,13.0,31.0,21.0,2.9,133.1
21.1,23.0,13.0,31.0,21.0,2.9,132.9
21.1,23.0,13.0,31.0,21.0,2.9,132.7
21.1,23.0,13.0,31.0,21.0,2.9,132.6
21.1,23.0,13.0,31.0,21.0,2.9,132.4
21.3,23.0,13.0,31.0,21.0,2.9,132.2
21.3,23.0,13.0,31.0,21.0,2.9,132.1
21.3,23.0,13.0,31.0,21.0,2.9,131.9
21.3,23.0,13.0,31.0,21.0,2.9,131.8
21.4,23.0,13.0,31.0,21.0,2.9,131.6
22.1,24.0,13.0,31.0,21.0,2.9,131.5
22.7,25.0,13.0,32.0,22.0,2.9,131.4
23.2,25.0,13.0,32.0,22.0,2.9,131.2
24.0,29.0,14.0,32.0,22.0,2.9,131.1
24.6,31.0,14.0,31.0,22.0,2.9,131.0
24.9,31.0,14.0,31.0,22.0,2.9,130.8
27.4,33.0,19.0,30.0,22.0,2.9,130.7
32.4,39.0,23.0,36.0,24.0,2.9,130.6
35.7,56.0,23.0,37.0,29.0,2.9,130.5
38.4,65.0,24.0,36.0,28.0,2.9,130.4
40.7,72.0,25.0,36.0,27.0,2.9,130.3
45.4,80.0,28.0,34.0,26.0,2.9,130.2
50.7,93.0,28.0,34.0,27.0,2.9,130.1
54.8,103.0,29.0,29.0,25.0,2.9,130.0
58.5,106.0,30.0,27.0,26.0,2.9,130.0
62.5,116.0,46.0,26.0,27.0,2.9,129.9
72.1,116.0,52.0,21.0,26.0,3.0,129.9
79.7,116.0,58.0,29.0,47.0,3.0,129.8
85.3,118.0,67.0,44.0,61.0,3.2,129.8
91.4,122.0,71.0,50.0,73.0,3.5,129.8
97.8,125.0,81.0,55.0,76.0,4.7,129.8
106.8,128.0,84.0,63.0,87.0,5.3,129.8
113.3,130.0,84.0,74.0,98.0,5.6,129.8
117.1,136.0,86.0,95.0,101.0,5.9,129.9
120.7,141.0,87.0,96.0,107.0,6.2,129.9
123.6,147.0,88.0,110.0,110.0,6.6,130.0
126.6,149.0,93.0,114.0,111.0,6.9,130.1
128.7,149.0,98.0,121.0,112.0,7.2,130.3
131.1,149.0,102.0,123.0,115.0,7.5,130.4
134.1,153.0,105.0,126.0,118.0,7.7,130.6
135.0,156.0,105.0,130.0,122.0,8.1,130.9
134.1,159.0,105.0,131.0,123.0,8.4,131.1
133.1,164.0,106.0,131.0,123.0,8.8,131.3
131.8,166.0,106.0,132.0,124.0,8.8,131.6
132.6,169.0,106.0,132.0,124.0,8.7,131.9
131.3,168.0,106.0,132.0,126.0,8.7,132.1
130.4,167.0,106.0,133.0,126.0,8.6,132.4
130.9,164.0,106.0,136.0,127.0,8.5,132.7
132.1,162.0,106.0,139.0,127.0,8.4,132.9
135.4,162.0,107.0,145.0,127.0,8.3,133.2
137.9,163.0,107.0,157.0,127.0,8.2,133.4
142.4,165.0,115.0,158.0,127.0,8.0,133.7
149.0,165.0,119.0,160.0,127.0,8.0,133.9
153.1,169.0,119.0,159.0,144.0,8.0,134.1
157.5,169.0,126.0,159.0,156.0,8.1,134.4
163.0,179.0,127.0,153.0,156.0,8.3,134.6
169.5,184.0,128.0,152.0,168.0,8.6,134.8
176.1,184.0,128.0,153.0,176.0,9.2,135.1
180.2,183.0,128.0,156.0,184.0,9.7,135.3
182.7,183.0,128.0,157.0,186.0,9.7,135.5
184.3,183.0,128.0,155.0,188.0,9.6,135.8
185.5,183.0,127.0,157.0,192.0,9.5,136.0
186.6,183.0,127.0,158.0,194.0,9.4,136.3
186.8,183.0,127.0,159.0,194.0,9.2,136.5
186.9,183.0,122.0,160.0,193.0,9.0,136.8
186.9,183.0,118.0,149.0,193.0,8.8,137.1
186.9,183.0,118.0,132.0,192.0,8.5,137.3
186.8,183.0,117.0,126.0,190.0,8.2,137.6
186.1,183.0,116.0,120.0,189.0,8.0,137.9
185.5,182.0,113.0,112.0,166.0,7.8,138.1
185.0,181.0,112.0,100.0,148.0,7.5,138.4
184.2,181.0,110.0,79.0,136.0,7.3,138.6
183.6,177.0,109.0,78.0,131.0,7.1,138.8
183.3,175.0,92.0,64.0,118.0,6.9,139.0
11.4,6.0,6.0,0.0,1.0,2.6,129.4
12.1,6.0,6.0,0.0,1.0,2.6,129.4
12.2,6.0,4.0,1.0,0.0,2.6,129.4
12.5,6.0,4.0,1.0,0.0,2.6,129.4
12.8,6.0,1.0,1.0,0.0,2.6,129.4
12.8,6.0,1.0,1.0,0.0,2.6,129.4
13.6,6.0,0.0,1.0,0.0,2.6,129.3
15.1,7.0,1.0,1.0,0.0,2.6,129.3
16.1,23.0,1.0,1.0,0.0,2.6,129.3
16.8,23.0,1.0,1.0,0.0,2.6,129.3
16.8,20.0,1.0,1.0,0.0,2.6,129.3
16.6,20.0,1.0,1.0,0.0,2.6,129.3
16.2,20.0,1.0,1.0,0.0,2.5,129.4
14.1,20.0,1.0,1.0,0.0,2.5,129.4
11.6,20.0,1.0,1.0,0.0,2.5,129.4
10.6,20.0,1.0,1.0,3.0,2.5,129.4
10.3,19.0,1.0,1.0,3.0,2.5,129.4
9.8,21.0,1.0,1.0,3.0,2.5,129.4
12.5,26.0,1.0,1.0,3.0,2.5,129.4
18.3,35.0,11.0,1.0,3.0,2.5,129.4
22.8,39.0,11.0,1.0,17.0,2.5,129.4
27.7,44.0,15.0,1.0,26.0,2.5,129.5
34.0,55.0,26.0,3.0,26.0,2.5,129.5
43.3,64.0,31.0,11.0,39.0,2.6,129.5
45.7,67.0,32.0,33.0,46.0,2.6,129.5
46.3,68.0,32.0,35.0,47.0,2.7,129.5
47.3,71.0,32.0,35.0,48.0,2.7,129.5
48.1,71.0,32.0,35.0,48.0,2.9,129.5
49.6,73.0,33.0,41.0,48.0,3.2,129.5
50.7,73.0,33.0,43.0,49.0,3.8,129.6
53.2,73.0,35.0,45.0,51.0,4.2,129.6
56.5,73.0,38.0,79.0,56.0,4.4,129.6
59.1,73.0,39.0,90.0,65.0,4.6,129.6
60.2,73.0,39.0,91.0,69.0,4.7,129.7
60.6,73.0,43.0,91.0,70.0,4.8,129.7
62.5,75.0,44.0,92.0,72.0,4.9,129.7
64.5,76.0,53.0,92.0,78.0,5.1,129.8
70.0,77.0,57.0,92.0,79.0,5.2,129.8
75.9,77.0,58.0,92.0,89.0,5.3,129.9
82.5,78.0,60.0,94.0,146.0,5.7,130.0
87.7,78.0,62.0,94.0,186.0,6.3,130.0
93.5,78.0,68.0,95.0,204.0,7.0,130.0
97.8,79.0,70.0,96.0,216.0,7.7,130.1
99.5,80.0,70.0,97.0,218.0,8.1,130.2
99.7,80.0,70.0,99.0,219.0,8.3,130.3
99.7,80.0,70.0,99.0,219.0,8.4,130.5
99.7,80.0,70.0,99.0,219.0,8.3,130.6
99.7,80.0,70.0,99.0,219.0,8.1,130.7
99.7,80.0,70.0,99.0,219.0,7.9,130.9
99.7,80.0,70.0,99.0,219.0,7.7,131.0
99.7,80.0,70.0,99.0,219.0,7.4,131.2
99.7,80.0,70.0,99.0,219.0,7.2,131.3
99.8,80.0,70.0,99.0,219.0,6.9,131.5
100.1,80.0,70.0,102.0,219.0,6.7,131.6
100.7,81.0,76.0,106.0,219.0,6.5,131.8
101.9,81.0,76.0,106.0,220.0,6.4,131.9
102.2,81.0,76.0,106.0,220.0,6.2,132.1
102.2,81.0,76.0,106.0,217.0,6.1,132.2
102.2,81.0,76.0,106.0,217.0,5.9,132.3
101.5,81.0,76.0,106.0,217.0,5.8,132.4
101.4,81.0,76.0,105.0,217.0,5.7,132.5
101.1,81.0,76.0,97.0,217.0,5.5,132.6
102.0,81.0,76.0,75.0,203.0,5.5,132.7
104.5,81.0,76.0,80.0,194.0,5.4,132.8
106.3,81.0,77.0,80.0,195.0,5.4,132.9
107.9,81.0,77.0,81.0,184.0,5.3,132.9
109.0,81.0,77.0,75.0,181.0,5.3,133.0
113.5,65.0,69.0,76.0,180.0,5.5,133.1
118.9,68.0,74.0,78.0,188.0,5.8,133.1
122.5,72.0,74.0,44.0,212.0,6.0,133.2
124.3,72.0,64.0,33.0,227.0,6.3,133.3
124.4,72.0,59.0,32.0,235.0,6.6,133.3
124.2,72.0,58.0,32.0,233.0,6.8,133.4
123.8,72.0,58.0,31.0,228.0,6.7,133.5
123.3,72.0,58.0,32.0,219.0,6.6,133.5
121.0,71.0,58.0,32.0,215.0,6.5,133.6
117.8,68.0,57.0,32.0,214.0,6.4,133.7
112.0,63.0,57.0,30.0,212.0,6.3,133.8
107.3,54.0,55.0,29.0,206.0,6.1,133.8
102.4,50.0,52.0,28.0,205.0,6.0,133.9
96.1,45.0,51.0,27.0,195.0,5.9,134.0
0.0,0.0,0.0,0.0,0.0,2.5,140.3
0.6,0.0,0.0,0.0,0.0,2.5,140.3
2.0,1.0,2.0,1.0,3.0,2.5,140.2
4.6,9.0,7.0,1.0,3.0,2.5,140.2
8.0,10.0,11.0,2.0,4.0,2.5,140.2
10.0,12.0,15.0,3.0,8.0,2.5,140.2
11.9,14.0,17.0,3.0,9.0,2.5,140.2
13.7,16.0,19.0,3.0,10.0,2.5,140.1
16.3,19.0,23.0,3.0,11.0,2.5,140.1
22.6,23.0,30.0,5.0,14.0,2.5,140.1
30.7,33.0,34.0,14.0,20.0,2.5,140.1
37.0,43.0,38.0,17.0,30.0,2.5,140.1
44.0,51.0,40.0,22.0,35.0,2.6,140.0
56.2,80.0,63.0,25.0,39.0,2.6,140.0
69.2,86.0,80.0,38.0,56.0,2.7,140.0
82.7,93.0,100.0,57.0,63.0,2.8,140.0
92.6,100.0,112.0,80.0,94.0,3.0,140.0
100.1,107.0,116.0,89.0,102.0,3.3,140.0
104.3,115.0,116.0,97.0,110.0,3.9,140.0
105.8,117.0,116.0,98.0,115.0,4.6,140.0
108.1,125.0,116.0,98.0,116.0,5.2,140.1
108.7,125.0,116.0,98.0,116.0,6.0,140.1
109.0,126.0,116.0,98.0,116.0,7.4,140.1
109.1,127.0,116.0,98.0,116.0,8.3,140.1
109.3,127.0,116.0,98.0,116.0,8.7,140.2
109.3,127.0,116.0,98.0,116.0,8.8,140.2
109.3,127.0,116.0,98.0,116.0,8.9,140.3
109.3,127.0,116.0,98.0,116.0,8.8,140.4
109.3,127.0,116.0,98.0,116.0,8.6,140.5
109.3,127.0,116.0,98.0,116.0,8.4,140.5
109.3,127.0,116.0,98.0,116.0,8.2,140.6
109.3,127.0,116.0,98.0,116.0,7.9,140.7
109.3,127.0,116.0,98.0,116.0,7.7,140.8
109.3,127.0,116.0,98.0,116.0,7.5,140.9
1.7,0.0,0.0,1.0,0.0,2.5,121.5
1.7,0.0,0.0,1.0,0.0,2.5,121.5
2.2,1.0,1.0,2.0,0.0,2.5,121.5
2.5,1.0,1.0,2.0,0.0,2.4,121.5
2.5,1.0,1.0,2.0,0.0,2.4,121.5
2.6,1.0,1.0,2.0,0.0,2.4,121.5
2.7,1.0,1.0,3.0,0.0,2.4,121.5
2.8,1.0,1.0,3.0,0.0,2.4,121.5
3.1,1.0,2.0,3.0,0.0,2.4,121.5
4.4,9.0,2.0,3.0,0.0,2.4,121.5
7.5,23.0,3.0,3.0,0.0,2.4,121.5
10.2,32.0,5.0,3.0,0.0,2.4,121.5
14.8,54.0,10.0,2.0,0.0,2.4,121.5
20.5,77.0,13.0,2.0,0.0,2.4,121.5
26.1,96.0,19.0,2.0,4.0,2.4,121.5
31.8,117.0,26.0,2.0,10.0,2.4,121.5
37.6,128.0,28.0,2.0,13.0,2.4,121.5
43.0,139.0,29.0,2.0,15.0,2.4,121.5
46.6,168.0,30.0,2.0,15.0,2.4,121.5
48.0,170.0,30.0,2.0,15.0,2.4,121.5
48.7,171.0,30.0,2.0,16.0,2.4,121.5
49.4,172.0,32.0,2.0,16.0,2.4,121.5
56.5,179.0,41.0,2.0,16.0,2.4,121.5
68.8,181.0,59.0,11.0,19.0,2.4,121.5
76.5,189.0,80.0,14.0,69.0,2.5,121.5
84.7,214.0,84.0,14.0,76.0,4.6,121.5
95.0,219.0,123.0,14.0,82.0,5.5,121.5
106.2,224.0,140.0,25.0,85.0,5.8,121.5
117.8,235.0,149.0,35.0,96.0,6.1,121.5
128.2,235.0,149.0,59.0,96.0,6.4,121.5
130.6,236.0,150.0,81.0,98.0,6.7,121.5
134.6,242.0,156.0,86.0,100.0,7.0,121.5
143.1,250.0,169.0,94.0,108.0,7.3,121.5
148.5,252.0,170.0,100.0,117.0,7.6,121.5
150.5,252.0,171.0,104.0,119.0,7.9,121.5
152.9,254.0,173.0,104.0,119.0,8.2,121.5
163.1,266.0,175.0,110.0,119.0,8.5,121.5
176.7,268.0,193.0,139.0,144.0,8.8,121.5
186.0,274.0,201.0,156.0,174.0,9.1,121.5
189.3,274.0,205.0,159.0,177.0,9.6,121.5
190.8,274.0,208.0,158.0,177.0,10.2,121.5
191.1,275.0,208.0,158.0,177.0,10.8,121.5
191.1,275.0,208.0,158.0,177.0,10.7,121.5
191.1,275.0,208.0,158.0,177.0,10.5,121.5
191.2,275.0,208.0,157.0,177.0,10.3,121.5
191.4,275.0,208.0,157.0,177.0,10.2,121.5
191.5,275.0,208.0,157.0,177.0,10.0,121.5
191.6,275.0,208.0,157.0,177.0,9.8,121.5
191.6,275.0,208.0,157.0,177.0,9.5,121.5
191.6,275.0,208.0,157.0,177.0,9.2,121.5
191.7,275.0,212.0,157.0,177.0,9.0,121.5
192.4,275.0,214.0,157.0,177.0,8.7,121.5
192.7,275.0,214.0,157.0,177.0,8.4,121.5
192.8,275.0,219.0,157.0,177.0,8.1,121.5
