code,target,totpop,region,proplive,sub,bus,numpark,totrent,a15,a20,a30,a40,a50,a60,a70,a80,a100,numpark_fam,pub10,pub50,pub99,gukmin,forever,happy,A,C,D,E,FMO,G,HI,J,K,L,N,M20,M30,F50,M50,F100,fee_deposit,fee_rent,older
C1850,254,388,2,1,0,4,226,385,0,0,0.229381443,0.762886598,0,0,0,0,0,0.582474227,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,14418000,244420,0.712211155
C2190,129,1013,2,0.993089832,0,2,178,1013,0.0029615,0.846001974,0.149062192,0.001974334,0,0,0,0,0,0.175715696,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,4032000,79980,0.712211155
C1476,70,453,2,0.986754967,0,5,107,453,0,0.657836645,0.33995585,0,0,0,0.002207506,0,0,0.236203091,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,8454000,113335,0.712211155
C1077,236,861,2,0.975609756,0,5,612,861,0,0,0.299651568,0.321718931,0.378629501,0,0,0,0,0.710801394,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,19973000,147300,0.712211155
C1068,510,806,13,0.986352357,0,2,804,805,0,0,0.40942928,0.476426799,0.112903226,0,0,0,0,0.99751861,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,16853500,137320,0.71138897
C1983,253,903,13,0.996677741,0,4,200,903,0,0.529346622,0.468438538,0,0,0.00110742,0,0,0.00110742,0.221483942,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,9714000,142850,0.71138897
C2135,127,1116,7,0.991039427,1,3,262,1116,0.002688172,0.592293907,0.403225806,0,0.000896057,0,0,0,0.000896057,0.234767025,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,5787000,89365,0.741879163
C2034,132,1486,7,0.998654105,1,3,405,1486,0.002018843,0.487213997,0.508748318,0,0.000672948,0,0.000672948,0,0.000672948,0.272543742,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,12015000,124390,0.741879163
C1109,313,1957,7,0.999489014,1,2,351,1957,0,0.767501277,0.23147675,0,0.000510986,0,0,0,0.000510986,0.179356157,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,9000000,106130,0.741879163
C1497,382,802,7,0.99127182,1,14,375,802,0,0,1,0,0,0,0,0,0,0.467581047,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,13253500,168575,0.741879163
C2289,364,1527,7,0.998690242,0,3,240,1527,0,0.635232482,0.360183366,0,0.003274394,0,0.000654879,0,0.000654879,0.157170923,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,10813000,84510,0.741879163
C2597,94,1005,7,0.975124378,0,2,166,1005,0.002985075,0.753233831,0.237810945,0.00199005,0.002985075,0,0,0,0.000995025,0.165174129,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,15315000,87485,0.741879163
C2310,189,1988,7,0.999496982,0,2,217,1988,0,0.840040241,0.156438632,0,0.002515091,0,0.000503018,0,0.000503018,0.10915493,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,11819000,81130,0.741879163
C1672,873,1350,7,0.988888889,0,1,1043,1350,0,0,0,0,1,0,0,0,0,0.772592593,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,18717500,229825,0.741879163
C2132,359,2428,7,0.999588138,0,1,756,282,0.002059308,0.004118616,0.106260297,0.000411862,0.002059308,0,0.000411862,0,0.000823723,0.311367381,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,16800000,87610,0.741879163
C1439,172,1755,7,0.983475783,1,3,270,1755,0.005698006,0.848433048,0.074643875,0.06951567,0,0.000569801,0,0,0.001139601,0.153846154,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,14616000,78665,0.741879163
C1613,498,840,7,0.991666667,1,1,594,840,0,0,0,0,1,0,0,0,0,0.707142857,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,20345000,257630,0.741879163
C2216,149,390,13,0.994871795,0,1,97,390,0,0,1,0,0,0,0,0,0,0.248717949,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,9447000,132910,0.71138897
C1899,31,451,2,1,0,4,109,451,0,0.66075388,0.33924612,0,0,0,0,0,0,0.241685144,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,8142500,85380,0.712211155
C1056,125,410,12,1,0,10,120,410,0,0.487804878,0.512195122,0,0,0,0,0,0,0.292682927,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.069666598,0.048026181,0.088402536,0.068930252,0.000368173,8166500,117270,0.724606245
C2644,177,779,13,0.991014121,0,12,190,778,0,0.498074454,0.496790757,0.003851091,0,0,0,0,0,0.243902439,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,11879000,127670,0.71138897
C1206,90,755,0,0.998675497,0,4,88,488,0,0.316556291,0.327152318,0,0,0.001324503,0,0,0.001324503,0.116556291,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,9134000,117270,0.722759695
C2481,302,693,9,0.997113997,0,2,486,693,0,0,0.627705628,0.372294372,0,0,0,0,0,0.701298701,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.074688623,0.052411602,0.084844939,0.067708769,8.36E-05,13221000,101390,0.720262478
C1718,496,753,9,0.969455511,0,2,682,753,0,0,0,0.751660027,0.248339973,0,0,0,0,0.905710491,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.074688623,0.052411602,0.084844939,0.067708769,8.36E-05,27465500,218475,0.720262478
C1655,236,498,0,0.953815261,0,6,402,498,0,0,0.176706827,0.53815261,0.285140562,0,0,0,0,0.807228916,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,19973000,132320,0.722759695
C1430,839,1533,7,0.979125897,0,3,1296,1533,0,0,0,0,1,0,0,0,0,0.845401174,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,31835000,185990,0.741879163
C1775,96,711,12,0.992967651,0,8,131,711,0,0.506329114,0.492264416,0,0,0,0,0,0.00140647,0.184247539,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.069666598,0.048026181,0.088402536,0.068930252,0.000368173,7204000,141000,0.724606245
C1519,235,420,12,1,0,0,393,420,0,0,0.6,0.4,0,0,0,0,0,0.935714286,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.069666598,0.048026181,0.088402536,0.068930252,0.000368173,15472000,94375,0.724606245
C2221,359,590,12,0.998305085,0,3,376,590,0,0,0,1,0,0,0,0,0,0.637288136,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.069666598,0.048026181,0.088402536,0.068930252,0.000368173,15406500,246675,0.724606245
C1790,120,657,2,0.99695586,0,4,166,657,0.00608828,0.397260274,0.590563166,0.00152207,0.00152207,0,0,0.00152207,0.00152207,0.252663623,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,8133000,98750,0.712211155
C2109,60,495,2,0.995959596,0,4,117,495,0,0.581818182,0.416161616,0,0,0,0,0,0.002020202,0.236363636,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,8200000,110000,0.712211155
C1698,65,460,2,0.997826087,0,3,155,460,0,0,1,0,0,0,0,0,0,0.336956522,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,12864000,156705,0.712211155
C1866,135,338,2,0.99704142,0,3,235,338,0,0,0.683431953,0.316568047,0,0,0,0,0,0.695266272,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,11421000,102215,0.712211155
C1005,376,1144,13,0.986013986,0,8,950,1144,0,0,0,0,1,0,0,0,0,0.83041958,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,16348000,210900,0.71138897
C1004,93,521,13,0.994241843,0,2,153,521,0.005758157,0.015355086,0.975047985,0,0.001919386,0,0,0,0.001919386,0.293666027,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,5787000,89220,0.71138897
C1875,209,1003,13,0.995014955,0,8,192,1003,0.002991027,0.843469591,0.151545364,0,0.000997009,0,0,0,0.000997009,0.191425723,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,9483000,78990,0.71138897
C2156,204,306,13,1,0,1,246,305,0,0,0.784313725,0,0.212418301,0,0,0,0,0.803921569,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,11147000,90410,0.71138897
C2212,86,697,0,1,0,4,128,697,0,0.427546628,0.56527977,0,0,0.005738881,0,0,0.00143472,0.183644189,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,8929000,144820,0.722759695
C2401,19,213,0,0.901408451,0,3,164,213,0,0,0.305164319,0.488262911,0.20657277,0,0,0,0,0.769953052,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,25964000,72660,0.722759695
C2571,62,481,2,0.98960499,0,1,65,481,0,0.972972973,0.024948025,0,0,0,0,0,0.002079002,0.135135135,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,6931000,92900,0.712211155
C1175,430,468,13,0.967948718,0,2,477,468,0,0,0,0.423076923,0.576923077,0,0,0,0,1.019230769,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.072622328,0.067302815,0.07929914,0.069167386,0.000219361,26258000,160100,0.71138897
C1833,1001,1364,12,0.986070381,0,5,1505,1364,0,0,0.58797654,0.250733138,0.161290323,0,0,0,0,1.103372434,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.069666598,0.048026181,0.088402536,0.068930252,0.000368173,15620000,123750,0.724606245
C2445,334,800,14,0.98,0,4,671,800,0,0,0.6525,0.16875,0.17875,0,0,0,0,0.83875,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064936655,0.056625252,0.082746802,0.074276271,0.000257054,15620000,141770,0.721157947
C1885,616,830,10,0.98313253,0,4,802,830,0,0,0.6,0.4,0,0,0,0,0,0.96626506,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07033852,0.053470531,0.079965535,0.0777949,0.000149128,14418000,100920,0.718281387
C2368,548,775,10,0.987096774,0,4,738,775,0,0,0.6,0,0.4,0,0,0,0,0.952258065,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07033852,0.053470531,0.079965535,0.0777949,0.000149128,14418000,100920,0.718281387
C2016,220,261,14,0.942528736,0,2,198,261,0,0,0.490421456,0.509578544,0,0,0,0,0,0.75862069,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064936655,0.056625252,0.082746802,0.074276271,0.000257054,12234000,103875,0.721157947
C2371,451,474,3,0.957805907,0,1,374,474,0,0,0.556962025,0.345991561,0.097046414,0,0,0,0,0.789029536,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.067859253,0.049572015,0.087149472,0.072145968,0.000233571,17302000,108130,0.723039681
C2536,47,72,11,0.902777778,0,1,54,72,0,0,0.666666667,0.333333333,0,0,0,0,0,0.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.070322283,0.046595927,0.081407764,0.074382126,0.000158176,9074000,50400,0.727133743
C2538,799,1473,1,0.991174474,0,3,1299,1473,0,0.127630686,0.479293958,0.200950441,0.192124915,0,0,0,0,0.881873727,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0.059894048,0.068704398,0.077344944,0.064858538,0.000290351,39668000,311110,0.728907719
C1014,708,996,11,0.99497992,0,2,823,996,0,0,0.518072289,0.281124498,0.200803213,0,0,0,0,0.826305221,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.070322283,0.046595927,0.081407764,0.074382126,0.000158176,21628000,150190,0.727133743
C1592,739,870,0,0.985057471,0,5,763,870,0,0,0.606896552,0.236781609,0.156321839,0,0,0,0,0.877011494,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,12387000,172190,0.722759695
C1867,374,678,2,0.961651917,0,2,579,678,0,0,0.669616519,0.123893805,0.206489676,0,0,0,0,0.853982301,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,9972000,100920,0.712211155
C2326,557,632,14,0.976265823,0,4,478,632,0,0,0.724683544,0.275316456,0,0,0,0,0,0.756329114,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064936655,0.056625252,0.082746802,0.074276271,0.000257054,13216000,114140,0.721157947
C1015,579,961,7,0.970863684,0,3,928,961,0,0,0.494276795,0.395421436,0.110301769,0,0,0,0,0.96566077,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,15583000,140810,0.741879163
C1620,1101,1232,4,0.982142857,0,4,1181,1232,0,0,0.575487013,0.424512987,0,0,0,0,0,0.958603896,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.066875166,0.064416056,0.07990214,0.067442652,0.000353103,25233000,141770,0.721010872
C1049,762,676,4,0.973372781,0,3,658,676,0,0,0.575443787,0,0.424556213,0,0,0,0,0.973372781,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.066875166,0.064416056,0.07990214,0.067442652,0.000353103,31242000,175410,0.721010872
C2000,795,1300,2,0.983846154,0,2,1082,1300,0,0,0.346153846,0.538461538,0.115384615,0,0,0,0,0.832307692,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,19225000,169420,0.712211155
C2097,995,998,3,0.970941884,0,2,1240,998,0,0,0.552104208,0.359719439,0.088176353,0,0,0,0,1.24248497,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.067859253,0.049572015,0.087149472,0.072145968,0.000233571,16737000,110790,0.723039681
C1668,288,493,10,0.985801217,0,4,421,493,0,0,0.448275862,0.30831643,0.243407708,0,0,0,0,0.853955375,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07033852,0.053470531,0.079965535,0.0777949,0.000149128,9611000,75690,0.718281387
C1689,960,1117,1,0.996418979,1,3,985,1117,0,0.166517457,0.397493286,0.303491495,0.132497762,0,0,0,0,0.881826321,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.059894048,0.068704398,0.077344944,0.064858538,0.000290351,42909000,291970,0.728907719
C1234,311,307,0,0.996742671,0,2,219,307,0,0,0,0,1,0,0,0,0,0.713355049,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.063157012,0.054321402,0.087266326,0.072177048,0.000318551,23830000,153765,0.722759695
C2514,648,501,2,0.98003992,0,1,405,501,0,0,0,0.447105788,0.552894212,0,0,0,0,0.808383234,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,15483500,149870,0.712211155
C1368,861,896,3,0.967633929,0,10,900,896,0,0,0.196428571,0.200892857,0.602678571,0,0,0,0,1.004464286,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.067859253,0.049572015,0.087149472,0.072145968,0.000233571,20847500,176635,0.723039681
C1057,521,521,3,0.953934741,0,4,521,521,0,0,0.257197697,0.259117083,0.483685221,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.067859253,0.049572015,0.087149472,0.072145968,0.000233571,20847500,176635,0.723039681
C2336,562,458,3,0.971615721,0,2,399,458,0,0,0.375545852,0.502183406,0.122270742,0,0,0,0,0.871179039,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.067859253,0.049572015,0.087149472,0.072145968,0.000233571,19787000,134300,0.723039681
C1026,422,290,3,0.965517241,0,2,205,290,0,0,0,0,1,0,0,0,0,0.706896552,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.067859253,0.049572015,0.087149472,0.072145968,0.000233571,24147500,109280,0.723039681
C2256,344,409,2,0.982885086,0,1,316,409,0,0.215158924,0.320293399,0.322738386,0.141809291,0,0,0,0,0.772616137,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07061753,0.057549801,0.08687251,0.072569721,0.000179283,15590000,136710,0.712211155
C1900,596,586,11,0.996587031,0,2,472,586,0,0,0.402730375,0.351535836,0.245733788,0,0,0,0,0.805460751,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.070322283,0.046595927,0.081407764,0.074382126,0.000158176,17477000,106090,0.727133743
C2666,701,1084,7,0.978782288,0,1,837,1084,0,0,0.422509225,0.577490775,0,0,0,0,0,0.772140221,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057233413,0.048866037,0.082899,0.068854768,0.000267643,18890500,133145,0.741879163
C2361,1117,1174,1,0.992333901,0,4,1026,1174,0,0,0.359454855,0.325383305,0.31516184,0,0,0,0,0.873935264,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.059894048,0.068704398,0.077344944,0.064858538,0.000290351,37454000,259660,0.728907719
