"code","tot_pop","region","num_empty","sub","bus","num_park","type_new","prop_type_im1","prop_type_im2","prop_type_im3","prop_type_im4","prop_type_im5","prop_type_im6","prop_type_im7","prop_type_im8","prop_type_im9","prop_type_im10","prop_type_qual1","prop_type_qual2","prop_type_qual3","prop_type_qual4","prop_type_qual5","prop_type_qual6","prop_type_qual7","prop_type_qual8","prop_type_qual9","prop_type_qual10","prop_type_qual11","prop_type_qual12","prop_type_qual13","prop_type_qual14","prop_areaL21","prop_areaL29","prop_areaL36","prop_areaL39","prop_areaL46","prop_areaL59","prop_areaU59","M_fee_deposit","M_fee_rent","target"
"C1177",0.64594807238395,0.4,17,0.333333333333333,0.666666666666667,0.976470588235294,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.4375,0.1875,0.1875,0,0.139068151194951,0.153984934816068,1044
"C1180",0.113296616837136,0.8,15,0,0.0666666666666667,0.127731092436975,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0761411720208969,0.0738071697228536,311
"C1184",0.169944925255704,0.0666666666666667,4,0,0.2,0.218487394957983,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.428571429,0.285714286,0,0.218140557407276,0.241104100624828,488
"C1194",0.190794649881983,0.866666666666667,3,0,0.266666666666667,0.224089635854342,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0933109550938074,0.19243275199527,585
"C1206",0.286782061369001,0,1,0,0.266666666666667,0.0420168067226891,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.75,0,0,0,0.166666667,0.0717837190427787,0.0897795264354225,90
"C1207",0.029110936270653,0.266666666666667,10,0,0.4,0.02296918767507,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666666667,0,0,0.333333333,0,0,0,0.123757968308,0.0987085529065204,59
"C1210",0.417781274586939,0.333333333333333,39,0,0.266666666666667,0.425770308123249,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0.2,0,0.2,0,0,0,0.106800936103822,0.0926437461139368,586
"C1213",0.112509834775767,0.8,8,0,0.4,0.118207282913165,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0687224704315691,0.0719724382561897,148
"C1227",0.30684500393391,0.133333333333333,7,0,0.0666666666666667,0.388795518207283,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0.222222222,0.333333333,0.222222222,0,0.199489397915041,0.247923185909262,823
"C1234",0.110542879622345,0,1,0,0.133333333333333,0.115406162464986,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.131621870789306,0.135204419664244,311
"C1236",0.431943351691581,0.0666666666666667,29,0,0.133333333333333,0.625210084033613,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0.118565271178561,0.132498190750915,657
"C1244",0.667191188040913,0.0666666666666667,10,0,0.666666666666667,0.823529411764706,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0.461538462,0.230769231,0,0.290475852776399,0.288888662378831,1804
"C1258",0.320220298977183,0.133333333333333,0,0,0.2,0.361344537815126,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0.333333333,0.333333333,0,0.166666667,0.166666667,0,0,0.0200616189553144,0.108942277309468,616
"C1263",0.0952006294256491,1,4,0,0.333333333333333,0.112605042016807,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0.2,0,0,0.000614613620783396,0.105598988859103,217
"C1268",0.396931549960661,0.0666666666666667,21,0,1,0.503081232492997,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.0870623832825095,0.176949657007145,934
"C1269",0.210464201416208,0.0666666666666667,1,0,0.2,0.313165266106443,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0,0.101072421971649,0.175379942307888,643
"C1281",0.24390243902439,0.8,4,0,0.2,0.319327731092437,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0,0,0.080498624999015,0.0857838890191322,484
"C1284",0.197482297403619,0.133333333333333,0,0,0.333333333333333,0.296918767507003,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.203058884712668,0.16708287889753,780
"C1286",0.351298190401259,0.733333333333333,27,0,0.133333333333333,0.546218487394958,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.225153456413651,0.579856687086548,881
"C1301",0.123524783634933,0.333333333333333,19,0,0.266666666666667,0.171988795518207,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0.0266962941950531,0.127024575208701,202
"C1307",0.18882769472856,0.0666666666666667,9,0,0.2,0.236974789915966,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.375,0.375,0,0.194690683875848,0.224051290937446,504
"C1309",0.140440597954367,0.733333333333333,15,0,0.266666666666667,0.208403361344538,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.571428571,0.285714286,0,0.0914040769370179,0.0811053237791391,446
"C1310",0.39771833202203,0,17,0,0.4,0.517086834733894,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.333333333,0.222222222,0.333333333,0,0.130495079151203,0.186561611301946,1084
"C1312",0.193548387096774,0.933333333333333,12,0,0.2,0.287955182072829,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0912543633627245,0.107489781565026,359
"C1316",0.0318646734854445,0.933333333333333,7,0,0.133333333333333,0.00784313725490196,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.156945527897943,0.0685272202798985,22
"C1319",0.184893784421715,0.133333333333333,16,0,0.0666666666666667,0.23249299719888,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.333333333,0.166666667,0.333333333,0,0.0520451662214658,0.103799932726513,398
"C1320",0.656963021243116,0.133333333333333,35,0,0.266666666666667,0.915966386554622,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0,0,0.0761096533736772,0.220045460568563,924
"C1326",0.750590086546027,0.466666666666667,43,0,0.266666666666667,0.928291316526611,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.2,0,0.2,0.2,0,0,0.127997226359045,0.186806242164168,1153
"C1328",0.380015735641227,0.0666666666666667,36,0,1,0.480672268907563,0,0,0,0,0,0,1,0,0,0,0,0.454545455,0,0,0,0.545454545,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0.363636364,0.363636364,0.181818182,0,0.918650371526054,0.055174452383622,770
"C1329",0.383949645948072,0.466666666666667,30,0,0.133333333333333,0.426890756302521,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.25,0,0.0962658282706506,0.125434474604259,554
"C1338",0.234461054287962,0.466666666666667,13,0.333333333333333,0.2,0.30140056022409,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0.17122505102081,0.224693446950778,551
"C1340",0.206923682140047,0.8,21,0,0.2,0.285714285714286,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0.2,0,0,0.0167127626882254,0.162302384131611,410
"C1341",0.352478363493312,0.266666666666667,7,0,0.0666666666666667,0.402240896358543,0,0,0,0,0,0,0.777777778,0.222222222,0,0,0,0.777777778,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0.222222222,0,0,0.666666667,0.111111111,0,0,0.0458675113664122,0.142874616490159,442
"C1343",0.225806451612903,0.0666666666666667,8,0.333333333333333,0.266666666666667,0.288515406162465,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.139375458005342,0.204959890731548,549
"C1344",0.156569630212431,0.533333333333333,0,0,0.2,0.254341736694678,0,0,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,1,0.351549838441701,509
"C1350",0.540912667191188,0.4,2,0,0.4,0.909243697478992,0,0.538461538,0.230769231,0,0,0.230769231,0,0,0,0,0,0.461538462,0,0,0.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462,0.538461538,0.164582496119267,0.194379605940453,2315
"C1350",0.540912667191188,0.4,2,0,0.4,0.909243697478992,0,0.538461538,0.230769231,0,0,0.230769231,0,0,0,0,0,0.461538462,0,0,0.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462,0.538461538,0.164582496119267,0.194379605940453,2315
"C1357",0.346970889063729,0.466666666666667,27,0,0.0666666666666667,0.553501400560224,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.392990252858347,0.539084876716238,995
"C1360",0.164044059795437,0.2,22,0,0.133333333333333,0.195518207282913,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.5,0.333333333,0,0.0800179656289152,0.107637579377618,375
"C1363",1,0.0666666666666667,11,0,0.4,1,0,0,0,0,0,0,0.785714286,0.214285714,0,0,0,0,0,0,0,0,0,0,0.785714286,0.214285714,0,0,0,0,0,0.071428571,0.5,0,0.214285714,0.214285714,0,0,0.0971168317455815,0.157114171261989,2550
"C1365",0.333988985051141,0.0666666666666667,5,0,0.133333333333333,0.49859943977591,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.1,0.7,0,0.364785003427653,0.325975720386924,945
"C1368",0.342250196695515,0.2,29,0,0.666666666666667,0.496918767507003,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0,0.108120779456146,0.158515702243469,861
"C1375",0.28756884343037,0.133333333333333,21,0,0.8,0.419047619047619,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0.428571429,0,0.120913410396426,0.118431916173158,754
"C1379",0.117230527143981,0.0666666666666667,10,0,0.133333333333333,0.143977591036415,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0.10001654728979,0.117351463198345,294
"C1386",0.5786782061369,0.733333333333333,15,0,0.333333333333333,0.608963585434174,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538461538,0.461538462,0,0,0.0414942990646841,0.0532072125332545,1145
"C1394",0.17309205350118,0.8,0,0,0.0666666666666667,0.17703081232493,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0428023229243001,0.0735268635265577,271
"C1402",0.125098347757671,1,16,0,0.133333333333333,0.185434173669468,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0.298434311199363,0.467734208568196,498
"C1406",0.637686860739575,0.4,13,0,0.133333333333333,0.968067226890756,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.214285714,0.214285714,0.285714286,0,0.187878716245499,0.139444687942756,1350
"C1407",0.468135326514555,0.4,13,0.333333333333333,0.0666666666666667,0.712605042016807,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0.545454545,0.181818182,0,0.161619743280618,0.146258676750894,1064
"C1410",0.129819040125885,1,10,0,0.2,0.300840336134454,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0.0159799541403683,0.0562039405954723,815
"C1424",0.235641227380016,0.4,2,0,0.466666666666667,0.282352941176471,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0.10280594756873,0.207915846983396,179
"C1424",0.235641227380016,0.4,2,0,0.466666666666667,0.282352941176471,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0.10280594756873,0.207915846983396,179
"C1426",0.136900078678206,0.2,2,0,0.133333333333333,0.172549019607843,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.6,0,0.2,0,0.022520073438448,0.126086823570184,262
"C1428",0.137293469708891,0,6,0,0.133333333333333,0.194397759103641,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.571428571,0.285714286,0,0.111063833140282,0.150244121214592,333
"C1430",0.592840283241542,0.466666666666667,32,0,0.2,0.718767507002801,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.194698563537653,0.168051209393825,839
"C1439",0.680173092053501,0.466666666666667,29,0.333333333333333,0.2,0.143977591036415,1,0,0,0,0,0,0,0.0625,0.9375,0,0,0,0,0.0625,0.9375,0,0,0,0,0,0,0,0,0,0,0.458333333,0.166666667,0.25,0,0.0625,0,0.0625,0.0884216249438574,0.124236802674631,172
"C1448",0.428796223446105,0.266666666666667,25,0,0.133333333333333,0.580952380952381,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0.555555556,0,0.197637677390886,0.157766520227914,1284
